eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int,is_exoplanet
(308933) 2006 SQ372,FALSO,1.52E+11,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,38987,2.4E+16,NA,Primary,NA,NA,NA,NA,45800000000,8.25E+11,22500000,12600,##########,##########,FALSE
1 Ceres,VERDADERO,413690250,382620000,445410000,7582,10593,2161,0.28,510,476.2,487,455,9619,NA,1681.63,44751,01/01/1801,9.39E+20,4210000000,Primary,NA,NA,0.09,8440000000,1.6844E+16,3.03191E+14,468000000,494000000,##########,7.2871E+17,FALSE
10 Hygiea,FALSO,469345000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,12/04/1849,2.4E+16,NA,Primary,NA,NA,NA,NA,1.48372E+15,2.67069E+15,22500000,12600,##########,1.44699E+13,FALSE
101955 Bennu,FALSO,168400000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,36414,2.4E+16,NA,Primary,NA,NA,NA,NA,4.13524E+15,7.44344E+15,22500000,12600,##########,1.124E+14,FALSE
10199 Chariklo,FALSO,2380000000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,35476,2.4E+16,NA,Primary,NA,NA,NA,NA,2.93E+12,5.2667E+15,22500000,12600,##########,##########,FALSE
10370 Hylonome,FALSO,3779000000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,34757,2.4E+16,NA,Primary,NA,NA,NA,NA,1.84E+12,3.31695E+15,22500000,12600,##########,##########,FALSE
136108 Haumea,VERDADERO,6432011461,2147483647,2147483647,19126,28.19,3,401,809,33,0,498,6102,1960 x 1518 x 996,103774,3.92,38349,4.01E+21,2400000000,Primary,NA,NA,0.66,9080000000,1.08E+12,1.94881E+16,22500000,21100000000,##########,1.2873E+16,FALSE
136199 Eris,VERDADERO,10180000000,2147483647,2147483647,44068,440445,3,0.82,1380,1163,0,0,0,NA,203830,25.92,38357,1.66E+22,6590000000,Primary,NA,NA,0.96,3.03E+11,68500000000,1.23329E+16,2790000000,8740000000,##########,2.1274E+16,FALSE
136472 Makemake,VERDADERO,6783345606,2147483647,2147483647,15586,2900685,44652,0.5,800,725,745,715,0.05,NA,112897,0,38442,4.4E+21,1700000000,Primary,NA,NA,0.81,966000000,1.03E+12,1.84971E+16,10800000000,23200000000,##########,1.27E+16,FALSE
15760 Albion,FALSO,6547379000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,33846,2.4E+16,NA,Primary,NA,NA,NA,NA,1.06E+12,1.91447E+15,22500000,12600,##########,##########,FALSE
2 Pallas,FALSO,414717000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,28/03/1802,2.4E+16,NA,Primary,NA,NA,NA,NA,1.67916E+16,3.02248E+16,22500000,12600,##########,1.8533E+13,FALSE
20000 Varuna,FALSO,6451398000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,36858,2.4E+16,NA,Primary,NA,NA,NA,NA,1.08E+12,1.94295E+15,22500000,12600,##########,##########,FALSE
2060 Chiron,FALSO,2042652000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,28416,2.4E+16,NA,Primary,NA,NA,NA,NA,3.41E+11,6.13651E+16,22500000,12600,##########,##########,FALSE
21 Lutetia,FALSO,364277000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,12/11/1852,2.4E+16,NA,Primary,NA,NA,NA,NA,1.91166E+16,3.44099E+15,22500000,12600,##########,##########,FALSE
216 Kleopatra,FALSO,417796000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,10/04/1880,2.4E+16,NA,Primary,NA,NA,NA,NA,1.66678E+16,3.00021E+16,22500000,12600,##########,##########,FALSE
243 Ida,FALSO,428000000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,29/09/1884,2.4E+16,NA,Primary,NA,NA,NA,NA,1.62704E+16,2.92868E+15,22500000,12600,##########,##########,FALSE
25143 Itokawa,FALSO,198049628,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,36064,2.4E+16,NA,Primary,NA,NA,NA,NA,3.51616E+15,6.3291E+15,22500000,12600,##########,8.12648E+13,FALSE
253 Mathilde,FALSO,395900000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,12/11/1885,2.4E+16,NA,Primary,NA,NA,NA,NA,1.75897E+16,3.16614E+15,22500000,12600,##########,2.03367E+13,FALSE
2867 � teins,FALSO,353495000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,25511,2.4E+16,NA,Primary,NA,NA,NA,NA,1.96997E+16,3.54595E+15,22500000,12600,##########,2.55084E+13,FALSE
28978 Ixion,FALSO,5910896000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,37033,2.4E+16,NA,Primary,NA,NA,NA,NA,1.18E+12,2.12062E+16,22500000,12600,##########,##########,FALSE
3 Junon,FALSO,399480000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,12/01/1804,2.4E+16,NA,Primary,NA,NA,NA,NA,1.7432E+16,3.13777E+15,22500000,12600,##########,1.99738E+13,FALSE
3753 Cruithne,FALSO,149260000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,31695,2.4E+16,NA,Primary,NA,NA,NA,NA,4.66552E+16,8.39793E+15,22500000,12600,9.97741E+15,1.43075E+14,FALSE
4 Vesta,FALSO,353343000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,29/03/1807,2.4E+16,NA,Primary,NA,NA,NA,NA,1.97082E+16,3.54747E+15,22500000,12600,##########,##########,FALSE
4179 Toutatis,FALSO,377326000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,32512,2.4E+16,NA,Primary,NA,NA,NA,NA,1.84555E+16,3.32199E+14,22500000,12600,##########,2.23881E+13,FALSE
433 Eros,FALSO,218155000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,13/08/1898,2.4E+16,NA,Primary,NA,NA,NA,NA,3.19211E+16,5.7458E+15,22500000,12600,##########,##########,FALSE
45 Eugenia,FALSO,406934000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,27/06/1857,2.4E+16,NA,Primary,NA,NA,NA,NA,1.71127E+16,3.08029E+15,22500000,12600,##########,1.92488E+13,FALSE
47171 Lempo,FALSO,5884000000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,36434,2.4E+16,NA,Primary,NA,NA,NA,NA,1.18E+12,2.13031E+16,22500000,12600,##########,##########,FALSE
4769 Castalia,FALSO,159053000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,32729,2.4E+16,NA,Primary,NA,NA,NA,NA,4.37826E+15,7.88086E+15,22500000,12600,##########,1.25999E+14,FALSE
5 Astraea,FALSO,384877000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,08/12/1845,2.4E+16,NA,Primary,NA,NA,NA,NA,1.80934E+15,3.25682E+14,22500000,12600,##########,##########,FALSE
50000 Quaoar,FALSO,6489054000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,37411,2.4E+16,NA,Primary,NA,NA,NA,NA,1.07E+12,1.93168E+16,22500000,12600,##########,##########,FALSE
5145 Pholus,FALSO,3055227000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,33612,2.4E+16,NA,Primary,NA,NA,NA,NA,2.28E+12,4.10272E+15,22500000,12600,##########,##########,FALSE
5261 Eureka,FALSO,227908000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,33044,2.4E+16,NA,Primary,NA,NA,NA,NA,3.05551E+16,5.49992E+15,22500000,12600,##########,6.13665E+13,FALSE
5335 Damocles,FALSO,8368303000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,33287,2.4E+16,NA,Primary,NA,NA,NA,NA,8320000000,1.49788E+16,22500000,12600,##########,##########,FALSE
588 Achilles,FALSO,776669000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,2245,2.4E+16,NA,Primary,NA,NA,NA,NA,8.97E+11,1.61391E+16,22500000,12600,##########,##########,FALSE
6 Hebe,FALSO,362959000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,01/07/1847,2.4E+16,NA,Primary,NA,NA,NA,NA,1.91861E+16,3.45349E+15,22500000,12600,##########,2.41955E+13,FALSE
624 Hektor,FALSO,781183000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,2598,2.4E+16,NA,Primary,NA,NA,NA,NA,8.91E+11,1.60459E+16,22500000,12600,##########,##########,FALSE
7 Iris,FALSO,357019000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,13/08/1847,2.4E+16,NA,Primary,NA,NA,NA,NA,1.95053E+16,3.51095E+14,22500000,12600,##########,2.50074E+13,FALSE
7066 Nessus,FALSO,3689000000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,34085,2.4E+16,NA,Primary,NA,NA,NA,NA,1.89E+12,3.39787E+15,22500000,12600,##########,##########,FALSE
762 Pulcova,FALSO,472579673,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,4995,2.4E+16,NA,Primary,NA,NA,NA,NA,1.47356E+16,2.65241E+14,22500000,12600,##########,1.42725E+13,FALSE
8 Flora,FALSO,329313000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,18/10/1847,2.4E+16,NA,Primary,NA,NA,NA,NA,2.11463E+16,3.80633E+15,22500000,12600,##########,##########,FALSE
8405 Asbolus,FALSO,2694000000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,34786,2.4E+16,NA,Primary,NA,NA,NA,NA,2.58E+12,4.65284E+15,22500000,12600,##########,##########,FALSE
87 Sylvia,FALSO,522135000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,16/05/1866,2.4E+16,NA,Primary,NA,NA,NA,NA,1.33371E+16,2.40067E+15,22500000,12600,##########,##########,FALSE
9 Metis,FALSO,357052000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,25/04/1848,2.4E+16,NA,Primary,NA,NA,NA,NA,1.95035E+16,3.51062E+14,22500000,12600,##########,2.50027E+13,FALSE
90377 Sedna,FALSO,75660000000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,37939,2.4E+16,NA,Primary,NA,NA,NA,NA,9200000000,1.65673E+15,22500000,12600,##########,##########,FALSE
90482 Orcus,FALSO,5862440000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,38034,2.4E+16,NA,Primary,NA,NA,NA,NA,1.19E+12,2.13815E+15,22500000,12600,##########,##########,FALSE
951 Gaspra,FALSO,330513000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,6056,2.4E+16,NA,Primary,NA,NA,NA,NA,2.10695E+15,3.79251E+15,22500000,12600,##########,##########,FALSE
Adrastea,FALSO,129000,0,0,2,54,1,2,0,8,0,0,0,10 x 8 x 7,29826,7158,29044,2E+15,NA,Secondary,Jupiter,NA,NA,NA,##########,##########,132000,10500,8.62E+11,1.6E+19,FALSE
Aegaeon,FALSO,167500,0,0,0,1,1,0,0,0.5,0,0,0,NA,808,19.63,39675,1E+11,NA,Secondary,Saturn,NA,NA,NA,##########,##########,516,1,1.11967E+16,4.7338E+14,FALSE
Aegir,FALSO,20749800,0,0,252,166.7,1,0,0,3,0,0,0,NA,1116.5,0,38333,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,3.35591E+16,##########,186000,79,1.38704E+15,4.62703E+13,FALSE
Aitne,FALSO,23315000,0,0,264,165.1,1,12,0,44682,0,0,0,NA,730.2,0,37244,4.5E+13,NA,Secondary,Jupiter,NA,NA,NA,2.98668E+16,##########,46400,237,1.55851E+15,##########,FALSE
Albiorix,FALSO,16401100,0,0,469,34,1,0,0,13,0,0,0,NA,783.5,13.32,36839,2.23E+16,NA,Secondary,Saturn,NA,NA,NA,4.24578E+16,##########,3490000,117000,1.09635E+16,1.101E+16,FALSE
Alexhelios,FALSO,775,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,39709,2.4E+16,NA,Secondary,216 Kleopatra,NA,NA,NA,##########,##########,22500000,12600,5180000000,5.31E+24,FALSE
