eName;isPlanet;semimajorAxis;perihelion;aphelion;eccentricity;inclination;density;gravity;escape;meanRadius;equaRadius;polarRadius;flattening;dimension;sideralOrbit;sideralRotation;discoveryDate;mass_kg;volume;orbit_type;orbits;bondAlbido;geomAlbido;RV_abs;p_transit;transit_visibility;transit_depth;massj;semimajorAxis_AU;grav_int
(308933) 2006 SQ372;FALSO;152000000000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;38987;24000000000000000;NA;Primary;NA;NA;NA;NA;45800000000;825000000000;22500000;12600;##########;##########
1 Ceres;VERDADERO;413690250;382620000;445410000;7582;10593;2161;0.28;510;476.2;487;455;9619;NA;1681.63;44751;01/01/1801;939000000000000000000;4210000000;Primary;NA;NA;0.09;8440000000;16843959943460100;303191278982282;468000000;494000000;##########;728710000000000000
10 Hygiea;FALSO;469345000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;12/04/1849;24000000000000000;NA;Primary;NA;NA;NA;NA;1483716668974840;2670690004154720;22500000;12600;##########;14469919971793.65
101955 Bennu;FALSO;168400000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;36414;24000000000000000;NA;Primary;NA;NA;NA;NA;4135243467933490;7443438242280280;22500000;12600;##########;112400009027256.69
10199 Chariklo;FALSO;2380000000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;35476;24000000000000000;NA;Primary;NA;NA;NA;NA;2930000000000;5266701680672260;22500000;12600;##########;##########
10370 Hylonome;FALSO;3779000000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;34757;24000000000000000;NA;Primary;NA;NA;NA;NA;1840000000000;3316948928287900;22500000;12600;##########;##########
136108 Haumea;VERDADERO;6432011461;2147483647;2147483647;19126;28.19;3;401;809;33;0;498;6102;1960 x 1518 x 996;103774;3.92;38349;4010000000000000000000;2400000000;Primary;NA;NA;0.66;9080000000;1080000000000;19488071618036500;22500000;21100000000;##########;12873000000000000
136199 Eris;VERDADERO;10180000000;2147483647;2147483647;44068;440445;3;0.82;1380;1163;0;0;0;NA;203830;25.92;38357;16600000000000000000000;6590000000;Primary;NA;NA;0.96;303000000000;68500000000;12332945468858800;2790000000;8740000000;##########;21274000000000000
136472 Makemake;VERDADERO;6783345606;2147483647;2147483647;15586;2900685;44652;0.5;800;725;745;715;0.05;NA;112897;0;38442;4400000000000000000000;1700000000;Primary;NA;NA;0.81;966000000;1030000000000;18497076116690400;10800000000;23200000000;##########;12700000000000000
15760 Albion;FALSO;6547379000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;33846;24000000000000000;NA;Primary;NA;NA;NA;NA;1060000000000;1914468369709460;22500000;12600;##########;##########
